State,Confirmed,Deaths,Recovered,Confirmed_today,Deaths_today,Recovered_today
Maharashtra,3648,211,365,328,10,34
Delhi,1893,43,207,186,1,135
MadhyaPradesh,1402,69,127,92,0,57
Gujarat,1376,53,93,277,12,7
TamilNadu,1372,15,365,49,0,82
Rajasthan,1351,21,200,122,4,17
UttarPradesh,974,14,108,125,0,26
Telangana,809,18,186,43,0,0
AndhraPradesh,603,16,42,31,2,7
Kerala,399,2,257,4,0,2
Karnataka,384,14,104,25,1,16
JammuandKashmir,341,5,51,13,0,9
WestBengal,287,12,55,32,2,4
Punjab,234,16,31,23,2,1
Haryana,232,3,100,9,0,14
Bihar,86,2,42,1,1,5
Odisha,61,1,24,1,0,3
Uttarakhand,42,0,9,2,0,0
HimachalPradesh,39,2,16,1,0,0
Chhattisgarh,36,0,25,0,0,1
Assam,34,1,12,0,0,3
Jharkhand,32,2,0,0,0,0
Chandigarh,23,0,9,2,0,0
Ladakh,18,0,14,0,0,0
AndamanandNicobarIslands,14,0,11,2,0,0
Meghalaya,11,1,0,2,0,0
Goa,7,0,6,0,0,0
Puducherry,7,0,1,0,0,0
Manipur,2,0,1,0,0,0
Tripura,2,0,1,0,0,0
Mizoram,1,0,0,0,0,0
ArunachalPradesh,1,0,1,0,0,0
Nagaland,1,0,0,0,0,0
DadraandNagarHaveli,0,0,0,0,0,0
DamanandDiu,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0
